"name","street","street2","city","state_id","zip","country_id","phone","mobile","email","website","lang","salesperson","pricelist","supplier currency","account receivable","account payable","tax id","company_id","company_type"
"Công ty TNHH Phạm Ngân Như","số 498, xóm Sơn San","thôn Quyền Đan, xã Xuân Thới Sơn, huyện Hóc Môn","Hồ Chí Minh","VN-SG","700000","84","020354079879","0939840606","hotro@phamngannhu.vn","phamngannhu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0318702616","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Nguyên","số 593, đường Nguyễn Tân Tố","phường Yết Kiêu, quận Hà Đông","Hà Nội","VN-HN","100000","84","024777976782","0948880522","hotro@lenguyen.vn","lenguyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0135174528","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Ðan Dương","số 962, hẻm 25","đường Nhật Khởi, phường Quang Trung, quận Đống Đa","Hà Nội","VN-HN","100000","84","0243648222","0953590708","hotro@nguyenðanduong.vn","nguyenðanduong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0172402282","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Ngân Bình","số 313, hẻm 78","đường Võ Trinh Diễm, phường 6, quận Quận 8","Hồ Chí Minh","VN-SG","700000","84","02947196439","0964172862","hotro@nguyennganbinh.vn","nguyennganbinh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0399224718","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Mai","số 630, đường Nhiên Thanh","phường Tân Chánh Hiệp, quận Quận 12","Hồ Chí Minh","VN-SG","700000","84","023854027684","0991034962","hotro@nguyenmai.vn","nguyenmai.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0376053303","UIT.IS336.L12.4","company"
"Công ty TNHH Hoàng Ðường Nghĩa","số 291, xóm 9","thôn 4, xã Tiên Cường, huyện Tiên Lãng","Hải Phòng","VN-HP","180000","84","02257367869","0967663270","hotro@hoangðuongnghia.vn","hoangðuongnghia.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0274217501","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Quyết Kim","số 575, đường Duyệt Ân","phường Trương Định, quận Hai Bà Trưng","Hà Nội","VN-HN","100000","84","0247392850","0955606363","hotro@lequyetkim.vn","lequyetkim.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0194774230","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Nghiêm Thương Ðức","số 765, đường Lê Huấn Quang","phường Hòa Xuân, quận Cẩm Lệ","Đà Nẵng","VN-DN","550000","84","023644565267","0906165469","hotro@nguyennghiemthuongðuc.vn","nguyennghiemthuongðuc.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0424604277","UIT.IS336.L12.4","company"
"Công ty TNHH Ông Thuận Dương","số 718, xóm San Thái","thôn Toàn Trung, xã Thạnh An, huyện Cần Giờ","Hồ Chí Minh","VN-SG","700000","84","021144596594","0944968081","hotro@ongthuanduong.vn","ongthuanduong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0386988336","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Ðức","số 378, xóm 10","thôn 4, xã Thái Mỹ, huyện Củ Chi","Hồ Chí Minh","VN-SG","700000","84","027554111550","0949765993","hotro@leðuc.vn","leðuc.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0310962210","UIT.IS336.L12.4","company"
"Công ty TNHH Đỗ Chiến","số 989, xóm 3","thôn 8, xã Tân Xuân, huyện Hóc Môn","Hồ Chí Minh","VN-SG","700000","84","027754103814","0890202425","hotro@dochien.vn","dochien.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0347201368","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Lân Quyết","số 208, đường Nguyễn Ðiền Thiện","phường Tân Chánh Hiệp, quận Quận 12","Hồ Chí Minh","VN-SG","700000","84","02937161922","0993251469","hotro@phanlanquyet.vn","phanlanquyet.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0324946909","UIT.IS336.L12.4","company"
"Công ty TNHH Bùi Bích Dân Tân","số 17, hẻm 60","đường Trần Nghiêm Chi, phường An Biên, quận Lê Chân","Hải Phòng","VN-HP","180000","84","022562932545","0964313689","hotro@buibichdantan.vn","buibichdantan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0262796666","UIT.IS336.L12.4","company"
"Công ty TNHH Lò Trọng Ðiệp Khả","số 301, đường Lai Lệ","phường 3, quận Tân Bình","Hồ Chí Minh","VN-SG","700000","84","02277101621","0960681686","hotro@lotrongðiepkha.vn","lotrongðiepkha.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0312053767","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Ý Nghiêm Hạnh","số 349, xóm 3","thôn 3, xã Tiến Thịnh, huyện Mê Linh","Hà Nội","VN-HN","100000","84","02444549121","0998835281","hotro@leynghiemhanh.vn","leynghiemhanh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0128008652","UIT.IS336.L12.4","company"
"Công ty TNHH Đặng Uyển Lưu","số 660, hẻm Lộc Thụy","đường Chấn Chấn, phường 13, quận Quận 8","Hồ Chí Minh","VN-SG","700000","84","025254187378","0992589749","hotro@danguyenluu.vn","danguyenluu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0389365418","UIT.IS336.L12.4","company"
"Công ty TNHH Ngô Thắm Lam Trường","số 745, hẻm Quyên Ðông","đường Nguyễn Huyền Trân, phường 4, quận Tân Bình","Hồ Chí Minh","VN-SG","700000","84","02377181377","0951276980","hotro@ngothamlamtruong.vn","ngothamlamtruong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0366039393","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Huy Thục","số 502, hẻm 93","đường Khôi Minh, phường Đa Phúc, quận Dương Kinh","Hải Phòng","VN-HP","180000","84","02257186550","0969101290","hotro@phamhuythuc.vn","phamhuythuc.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0296589207","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Thoa Nghị Lập","số 866, hẻm 54","đường Trần Nữ Toàn, phường Bình Trị Đông A, quận Bình Tân","Hồ Chí Minh","VN-SG","700000","84","022154332545","0935237736","hotro@nguyenthoanghilap.vn","nguyenthoanghilap.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0365427990","UIT.IS336.L12.4","company"
"Công ty TNHH Tôn Thất Nghĩa","số 668, xóm 7","thôn Thơ Triệu, xã Trung Mầu, huyện Gia Lâm","Hà Nội","VN-HN","100000","84","024777995970","0915974210","hotro@tonthatnghia.vn","tonthatnghia.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0145991425","UIT.IS336.L12.4","company"
"Công ty TNHH Âu Dương Hạ Triều","số 202, hẻm Chương Chi","đường Đỗ Cúc Ân, phường 5, quận Tân Bình","Hồ Chí Minh","VN-SG","700000","84","02197360036","0870944663","hotro@auduonghatrieu.vn","auduonghatrieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0369969908","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Hân Bá","số 65, xóm Vĩ Thăng","thôn Võ Khắc, xã Tân Tiến, huyện An Dương","Hải Phòng","VN-HP","180000","84","022544519208","0987361321","hotro@lehanba.vn","lehanba.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0229929189","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Khang Hoàng","số 171, hẻm Ngạn Ý","đường Phan Quảng Thanh, phường 10, quận Phú Nhuận","Hồ Chí Minh","VN-SG","700000","84","0227777973817","0914130276","hotro@phamkhanghoang.vn","phamkhanghoang.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0349946601","UIT.IS336.L12.4","company"
"Công ty TNHH Đặng Việt Phụng","số 690, đường Phan Tài Gia","phường 26, quận Bình Thạnh","Hồ Chí Minh","VN-SG","700000","84","021922460844","0861674434","hotro@dangvietphung.vn","dangvietphung.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0316108017","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Kỳ","số 523, xóm 3","thôn Vinh Khả, xã Văn Tự, huyện Thường Tín","Hà Nội","VN-HN","100000","84","02444531481","0891135691","hotro@tranky.vn","tranky.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0183259805","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Cúc Yên","số 821, xóm 7","thôn 7, xã Yên Bình, huyện Thạch Thất","Hà Nội","VN-HN","100000","84","02454391186","0938547901","hotro@nguyencucyen.vn","nguyencucyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0145016495","UIT.IS336.L12.4","company"
"Công ty TNHH Huỳnh Uy","số 319, xóm 5","thôn Sương Dạ, xã Tòng Bạt, huyện Ba Vì","Hà Nội","VN-HN","100000","84","0247186447","0972976169","hotro@huynhuy.vn","huynhuy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0182021868","UIT.IS336.L12.4","company"
"Công ty TNHH Hồ Dương Lập","số 784, đường Hồ Cương Chí","phường Tân Tạo, quận Bình Tân","Hồ Chí Minh","VN-SG","700000","84","022645040570","0881747451","hotro@hoduonglap.vn","hoduonglap.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0383904655","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Bảo","số 830, hẻm 53","đường Vũ Việt Hùng, phường 10, quận Tân Bình","Hồ Chí Minh","VN-SG","700000","84","0294777951924","0970693925","hotro@phanbao.vn","phanbao.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0338631417","UIT.IS336.L12.4","company"
"Công ty TNHH Ứng Quỳnh","số 98, xóm 10","thôn 7, xã Đồng Quang, huyện Quốc Oai","Hà Nội","VN-HN","100000","84","0247361338","0951862618","hotro@ungquynh.vn","ungquynh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0176826208","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Thương","số 854, xóm 7","thôn 6, xã Dũng Tiến, huyện Vĩnh Bảo","Hải Phòng","VN-HP","180000","84","022562679645","0931981366","hotro@nguyenthuong.vn","nguyenthuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0282740398","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Bạch Vĩ Tùng","số 357, xóm 10","thôn 5, xã Đồng Thái, huyện Ba Vì","Hà Nội","VN-HN","100000","84","02445058559","0884027141","hotro@phanbachvitung.vn","phanbachvitung.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0154543562","UIT.IS336.L12.4","company"
"Công ty TNHH Hoàng Dao Đan Thục","số 884, đường Trần Nghị Vạn","phường Phú Thuận, quận Quận 7","Hồ Chí Minh","VN-SG","700000","84","022754397286","0935710639","hotro@hoangdaodanthuc.vn","hoangdaodanthuc.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0336228997","UIT.IS336.L12.4","company"
"Công ty TNHH Vũ Ðôn Triều","số 311, hẻm 34","đường Thạch Hiếu, phường 6, quận Bình Thạnh","Hồ Chí Minh","VN-SG","700000","84","02257171917","0980606530","hotro@vuðontrieu.vn","vuðontrieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0328818564","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Lâm Liên Kim","số 820, xóm 9","thôn Hiếu Tâm, xã Ninh Hiệp, huyện Gia Lâm","Hà Nội","VN-HN","100000","84","0247100378","0948037463","hotro@nguyenlamlienkim.vn","nguyenlamlienkim.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0144413626","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Thuận Thăng","số 586, xóm 2","thôn 9, xã Hòa Phong, huyện Hòa Vang","Đà Nẵng","VN-DN","550000","84","023645005133","0918726684","hotro@nguyenthuanthang.vn","nguyenthuanthang.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0494892687","UIT.IS336.L12.4","company"
"Công ty TNHH Huỳnh Vinh","số 258, xóm Quý Uyên","thôn 10, xã Minh Phú, huyện Sóc Sơn","Hà Nội","VN-HN","100000","84","02462889887","0948661208","hotro@huynhvinh.vn","huynhvinh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0122535685","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Sơn Hiếu","số 38, đường Nguyễn Tài Hạo","phường Thới An, quận Quận 12","Hồ Chí Minh","VN-SG","700000","84","0219777942849","0934131067","hotro@nguyensonhieu.vn","nguyensonhieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0391264956","UIT.IS336.L12.4","company"
"Công ty TNHH Ngô Thạch Hữu","số 777, hẻm 29","đường Trần Minh Ý, phường Hưng Thạnh, quận Cái Răng","Cần Thơ","VN-CT","900000","84","029254371393","0993120124","hotro@ngothachhuu.vn","ngothachhuu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","1817333124","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Bích Lý Uy","số 351, đường Trần Hoàn Cẩm","phường Văn Miếu, quận Đống Đa","Hà Nội","VN-HN","100000","84","0247189365","0938512525","hotro@nguyenbichlyuy.vn","nguyenbichlyuy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0162493543","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Phụng Trầm Thủy","số 704, xóm 5","thôn 10, xã Bình Mỹ, huyện Củ Chi","Hồ Chí Minh","VN-SG","700000","84","02757380154","0993550047","hotro@phanphungtramthuy.vn","phanphungtramthuy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0376616967","UIT.IS336.L12.4","company"
"Công ty TNHH Bì Cao","số 896, đường Đặng Bích Tố","phường 12, quận Phú Nhuận","Hồ Chí Minh","VN-SG","700000","84","02227183249","0937538330","hotro@bicao.vn","bicao.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0347350692","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Uyên","số 376, xóm Quang Phúc","thôn Duyệt Lam, xã Ninh Sở, huyện Thường Tín","Hà Nội","VN-HN","100000","84","02445090342","0990368978","hotro@phamuyen.vn","phamuyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0112380295","UIT.IS336.L12.4","company"
"Công ty TNHH Võ Luận Kiết","số 682, xóm 7","thôn 2, xã Phùng Xá, huyện Mỹ Đức","Hà Nội","VN-HN","100000","84","0247372342","0893707133","hotro@voluankiet.vn","voluankiet.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0138977831","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Phụng Nhân Thành","số 551, đường Thương Thục","phường Hòa Thọ Tây, quận Cẩm Lệ","Đà Nẵng","VN-DN","550000","84","023645003583","0873279846","hotro@nguyenphungnhanthanh.vn","nguyenphungnhanthanh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0491246103","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Hữu","số 981, đường Trần Cẩn Quyết","phường 6, quận Quận 3","Hồ Chí Minh","VN-SG","700000","84","026044522494","0911649270","hotro@phanhuu.vn","phanhuu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0387476430","UIT.IS336.L12.4","company"
"Công ty TNHH Đương Thu","số 39, đường Phạm Hương Văn","thị trấn Liên Quan, huyện Thạch Thất","Hà Nội","VN-HN","100000","84","024777912023","0963335518","hotro@duongthu.vn","duongthu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0120370694","UIT.IS336.L12.4","company"
"Công ty TNHH Lý Triều","số 996, đường Cồ Nhất Huyền","thị trấn Thới Lai, huyện Thới Lai","Cần Thơ","VN-CT","900000","84","029245007652","0932274318","hotro@lytrieu.vn","lytrieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","1866640829","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Sáng Cao Hiếu","số 691, đường Nguyễn Lan Thụ","phường Trần Thành Ngọ, quận Kiến An","Hải Phòng","VN-HP","180000","84","022544590158","0932413442","hotro@nguyensangcaohieu.vn","nguyensangcaohieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0261481851","UIT.IS336.L12.4","company"
