"name","street","street2","city","state_id","zip","country_id","phone","mobile","email","website","lang","salesperson","pricelist","supplier currency","account receivable","account payable","tax id"
"Công ty TNHH Bùi Giao Hảo","số 978, đường Cúc Tài, phường Hưng Lợi, quận Ninh Kiều, thành phố Cần Thơ","số 978, đường Cúc Tài, phường Hưng Lợi, quận Ninh Kiều","thành phố Cần Thơ","VN-CT","900000","VN","029262921767","0922745908","hotro@buigiaohao.vn","buigiaohao.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","1834377201"
"Công ty TNHH Võ Vinh","số 370, xóm 4, thôn Chương Diệp, xã Phù Lưu, huyện Ứng Hòa, thành phố Hà Nội","số 370, xóm 4, thôn Chương Diệp, xã Phù Lưu, huyện Ứng Hòa","thành phố Hà Nội","VN-HN","100000","VN","0243831281","0991828075","hotro@vovinh.vn","vovinh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0162420963"
"Công ty TNHH Nguyễn Tiến","số 164, xóm Uyển Ðức, thôn Loan Ý, xã An Thái, huyện An Lão, thành phố Hải Phòng","số 164, xóm Uyển Ðức, thôn Loan Ý, xã An Thái, huyện An Lão","thành phố Hải Phòng","VN-HP","180000","VN","022544553061","0905293327","hotro@nguyentien.vn","nguyentien.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0230813555"
"Công ty TNHH Ưng Trọng Uy","số 72, hẻm 13, đường Lê Mẫn Hải, phường Cổ Nhuế 2, quận Bắc Từ Liêm, thành phố Hà Nội","số 72, hẻm 13, đường Lê Mẫn Hải, phường Cổ Nhuế 2, quận Bắc Từ Liêm","thành phố Hà Nội","VN-HN","100000","VN","0243820601","0919632811","hotro@ungtronguy.vn","ungtronguy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0154381796"
"Công ty TNHH Nguyễn Uy","số 994, đường Phạm Mỹ Nam, phường Tân Thuận Tây, quận Quận 7, thành phố Hồ Chí Minh","số 994, đường Phạm Mỹ Nam, phường Tân Thuận Tây, quận Quận 7","thành phố Hồ Chí Minh","VN-SG","700000","VN","025854189332","0994105989","hotro@nguyenuy.vn","nguyenuy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0380656983"
"Công ty TNHH Phạm Triều Thành","số 895, đường Cúc Hiểu, phường Thới An, quận Quận 12, thành phố Hồ Chí Minh","số 895, đường Cúc Hiểu, phường Thới An, quận Quận 12","thành phố Hồ Chí Minh","VN-SG","700000","VN","02913576044","0880835267","hotro@phamtrieuthanh.vn","phamtrieuthanh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0330470767"
"Công ty TNHH Huỳnh Sang Trân Diễm","số 477, đường Phạm Cao Bá, phường Yên Hòa, quận Cầu Giấy, thành phố Hà Nội","số 477, đường Phạm Cao Bá, phường Yên Hòa, quận Cầu Giấy","thành phố Hà Nội","VN-HN","100000","VN","0243989301","0901559579","hotro@huynhsangtrandiem.vn","huynhsangtrandiem.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0180913014"
"Công ty TNHH Phạm Tân Sinh Hoàng","số 208, đường Biện Linh Nhật, phường Bình Chiểu, quận Thủ Đức, thành phố Hồ Chí Minh","số 208, đường Biện Linh Nhật, phường Bình Chiểu, quận Thủ Đức","thành phố Hồ Chí Minh","VN-SG","700000","VN","020666498325","0944655521","hotro@phamtansinhhoang.vn","phamtansinhhoang.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0393013392"
"Công ty TNHH Phan My Ðường Thụy","số 537, đường Nữ Hiểu, phường Hòa Thọ Đông, quận Cẩm Lệ, thành phố Đà Nẵng","số 537, đường Nữ Hiểu, phường Hòa Thọ Đông, quận Cẩm Lệ","thành phố Đà Nẵng","VN-DN","550000","VN","023645064057","0874542877","hotro@phanmyðuongthuy.vn","phanmyðuongthuy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0490907848"
"Công ty TNHH Nguyễn Hành Lộc Thục","số 16, đường Thái Vân Duyên, phường Hòa Hiệp Bắc, quận Liên Chiểu, thành phố Đà Nẵng","số 16, đường Thái Vân Duyên, phường Hòa Hiệp Bắc, quận Liên Chiểu","thành phố Đà Nẵng","VN-DN","550000","VN","02367199653","0917356937","hotro@nguyenhanhlocthuc.vn","nguyenhanhlocthuc.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0427679262"
"Công ty TNHH Phạm Tân Cảnh Khánh","số 590, xóm Phát Phương, thôn 3, xã Tân Tiến, huyện An Dương, thành phố Hải Phòng","số 590, xóm Phát Phương, thôn 3, xã Tân Tiến, huyện An Dương","thành phố Hải Phòng","VN-HP","180000","VN","022554132631","0974045204","hotro@phamtancanhkhanh.vn","phamtancanhkhanh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0298513026"
"Công ty TNHH Vũ Tâm","số 430, đường Quế Ðại, phường Thanh Nhàn, quận Hai Bà Trưng, thành phố Hà Nội","số 430, đường Quế Ðại, phường Thanh Nhàn, quận Hai Bà Trưng","thành phố Hà Nội","VN-HN","100000","VN","0247376704","0968215565","hotro@vutam.vn","vutam.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0159780081"
"Công ty TNHH Lê Trác Quảng Toàn","số 54, xóm 4, thôn Linh Quyết, xã Bắc Phú, huyện Sóc Sơn, thành phố Hà Nội","số 54, xóm 4, thôn Linh Quyết, xã Bắc Phú, huyện Sóc Sơn","thành phố Hà Nội","VN-HN","100000","VN","0247126823","0908781479","hotro@letracquangtoan.vn","letracquangtoan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0152430522"
"Công ty TNHH Nguyễn Thiện","số 57, đường Khiêm Quang, phường Hàng Trống, quận Hoàn Kiếm, thành phố Hà Nội","số 57, đường Khiêm Quang, phường Hàng Trống, quận Hoàn Kiếm","thành phố Hà Nội","VN-HN","100000","VN","02445016176","0993771421","hotro@nguyenthien.vn","nguyenthien.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0181578597"
"Công ty TNHH Trần Vĩ Nhất","số 72, xóm 7, thôn 8, xã Song Phương, huyện Hoài Đức, thành phố Hà Nội","số 72, xóm 7, thôn 8, xã Song Phương, huyện Hoài Đức","thành phố Hà Nội","VN-HN","100000","VN","02454476486","0996673945","hotro@tranvinhat.vn","tranvinhat.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0165950027"
"Công ty TNHH Nguyễn Huệ","số 656, đường Lê Ðông Triệu, phường Tân Thới Nhất, quận Quận 12, thành phố Hồ Chí Minh","số 656, đường Lê Ðông Triệu, phường Tân Thới Nhất, quận Quận 12","thành phố Hồ Chí Minh","VN-SG","700000","VN","02367372778","0963251984","hotro@nguyenhue.vn","nguyenhue.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0318692680"
"Công ty TNHH Vũ Hương Từ Long","số 705, xóm 7, thôn 2, xã Liên Ninh, huyện Thanh Trì, thành phố Hà Nội","số 705, xóm 7, thôn 2, xã Liên Ninh, huyện Thanh Trì","thành phố Hà Nội","VN-HN","100000","VN","02445087526","0893025568","hotro@vuhuongtulong.vn","vuhuongtulong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0136087634"
"Công ty TNHH Nguyễn Huệ Bội","số 922, hẻm 76, đường Nguyễn Yến Khả, phường Ngã Tư Sở, quận Đống Đa, thành phố Hà Nội","số 922, hẻm 76, đường Nguyễn Yến Khả, phường Ngã Tư Sở, quận Đống Đa","thành phố Hà Nội","VN-HN","100000","VN","02454467270","0992286916","hotro@nguyenhueboi.vn","nguyenhueboi.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0134227324"
"Công ty TNHH Nguyễn Chiến Vy Thường","số 724, đường Hân Viết, phường Thượng Đình, quận Thanh Xuân, thành phố Hà Nội","số 724, đường Hân Viết, phường Thượng Đình, quận Thanh Xuân","thành phố Hà Nội","VN-HN","100000","VN","0247130647","0998922426","hotro@nguyenchienvythuong.vn","nguyenchienvythuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0157589513"
"Công ty TNHH Võ Tuấn","số 114, xóm Ðôn Dũng, thôn 8, xã Đốc Tín, huyện Mỹ Đức, thành phố Hà Nội","số 114, xóm Ðôn Dũng, thôn 8, xã Đốc Tín, huyện Mỹ Đức","thành phố Hà Nội","VN-HN","100000","VN","024777996440","0878500957","hotro@votuan.vn","votuan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0155153410"
"Công ty TNHH Trần Mẫn Cúc Trang","số 757, xóm 6, thôn 9, xã Đại Cường, huyện Ứng Hòa, thành phố Hà Nội","số 757, xóm 6, thôn 9, xã Đại Cường, huyện Ứng Hòa","thành phố Hà Nội","VN-HN","100000","VN","0243999629","0885057081","hotro@tranmancuctrang.vn","tranmancuctrang.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0164408696"
"Công ty TNHH Nguyễn Diệu Tuyết Uyển","số 945, đường Hiệp Khắc, phường 14, quận Quận 11, thành phố Hồ Chí Minh","số 945, đường Hiệp Khắc, phường 14, quận Quận 11","thành phố Hồ Chí Minh","VN-SG","700000","VN","0296777961275","0999708791","hotro@nguyendieutuyetuyen.vn","nguyendieutuyetuyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0398106370"
"Công ty TNHH Nguyễn Chi Trầm Băng","số 168, hẻm Hoàn Ðăng, đường Nguyễn Hoàn Hoa, phường 6, quận Quận 11, thành phố Hồ Chí Minh","số 168, hẻm Hoàn Ðăng, đường Nguyễn Hoàn Hoa, phường 6, quận Quận 11","thành phố Hồ Chí Minh","VN-SG","700000","VN","0212777951482","0942279748","hotro@nguyenchitrambang.vn","nguyenchitrambang.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0337270635"
"Công ty TNHH Giả Thùy","số 813, xóm 5, thôn Vĩ Ý, xã An Sơn, huyện Thủy Nguyên, thành phố Hải Phòng","số 813, xóm 5, thôn Vĩ Ý, xã An Sơn, huyện Thủy Nguyên","thành phố Hải Phòng","VN-HP","180000","VN","02257310479","0872021835","hotro@giathuy.vn","giathuy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0219541508"
"Công ty TNHH Thang Cúc Kiệt Ái","số 885, đường Lương Thư, phường Đồng Tâm, quận Hai Bà Trưng, thành phố Hà Nội","số 885, đường Lương Thư, phường Đồng Tâm, quận Hai Bà Trưng","thành phố Hà Nội","VN-HN","100000","VN","02454120644","0913727049","hotro@thangcuckietai.vn","thangcuckietai.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0198836513"
