"name","street","street2","city","state_id","zip","country_id","phone","mobile","email","website","lang","salesperson","pricelist","supplier currency","account receivable","account payable","tax id","company_id","company_type"
"Công ty TNHH Nguyễn Sinh Nguyên","số 700, đường Hoàng Duyên Đình","phường 13, quận Quận 8","Hồ Chí Minh","VN-SG","700000","84","02207155924","0896650511","hotro@nguyensinhnguyen.vn","nguyensinhnguyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0375529614","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Ðức Thế","số 383, xóm 5","thôn 2, xã Trung Lập, huyện Vĩnh Bảo","Hải Phòng","VN-HP","180000","84","02257160563","0937350038","hotro@nguyenðucthe.vn","nguyenðucthe.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0254130297","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Duyên","số 424, đường Đăng Gia Hải","phường 5, quận Quận 6","Hồ Chí Minh","VN-SG","700000","84","02747142951","0878203441","hotro@nguyenduyen.vn","nguyenduyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0349021361","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Nghị Luận Danh","số 263, xóm Công Kiên","thôn 8, xã Gia Minh, huyện Thủy Nguyên","Hải Phòng","VN-HP","180000","84","02257370347","0966011099","hotro@lenghiluandanh.vn","lenghiluandanh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0220017357","UIT.IS336.L12.4","company"
"Công ty TNHH Huỳnh Tấn","số 803, xóm 3","thôn Cao Kiên, xã Bà Điểm, huyện Hóc Môn","Hồ Chí Minh","VN-SG","700000","84","0259777972727","0896096790","hotro@huynhtan.vn","huynhtan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0351789885","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Thế Nguyên","số 114, đường Minh Toàn","phường Bình Trị Đông B, quận Bình Tân","Hồ Chí Minh","VN-SG","700000","84","02933655514","0905492220","hotro@phanthenguyen.vn","phanthenguyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0373437071","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Ðiền Tuấn","số 44, xóm Xuyến Thiện","thôn 9, xã Thuận Thiên, huyện Kiến Thụy","Hải Phòng","VN-HP","180000","84","02253755727","0898536713","hotro@tranðientuan.vn","tranðientuan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0251021731","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Thơ Viên Kiến","số 831, xóm 8","thôn 2, xã Yên Viên, huyện Gia Lâm","Hà Nội","VN-HN","100000","84","02454059440","0990119618","hotro@tranthovienkien.vn","tranthovienkien.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0169158474","UIT.IS336.L12.4","company"
"Công ty TNHH Huỳnh Nguyệt Kim Huệ","số 86, xóm Diễm Bích","thôn 6, xã Bình Lợi, huyện Bình Chánh","Hồ Chí Minh","VN-SG","700000","84","021845089506","0969243131","hotro@huynhnguyetkimhue.vn","huynhnguyetkimhue.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0316243165","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Hoa","số 835, đường Trần Hân Uy","phường Thanh Mỹ, thị xã Sơn Tây","Hà Nội","VN-HN","100000","84","024777947448","0944286701","hotro@nguyenhoa.vn","nguyenhoa.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0167278257","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Ly Cơ Diệu","số 516, hẻm 94","đường Hội Khánh, phường Tăng Nhơn Phú A, quận Quận 9","Hồ Chí Minh","VN-SG","700000","84","02357393653","0899295751","hotro@phamlycodieu.vn","phamlycodieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0316632994","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Quyền San","số 708, đường Huỳnh Thiên Hòa","phường 10, quận Quận 5","Hồ Chí Minh","VN-SG","700000","84","02727120748","0872845550","hotro@phanquyensan.vn","phanquyensan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0357199969","UIT.IS336.L12.4","company"
"Công ty TNHH Từ Lâm Từ Thường","số 55, hẻm 2","đường Nông Oanh Nhân, phường Phước Long B, quận Quận 9","Hồ Chí Minh","VN-SG","700000","84","025954432526","0991116612","hotro@tulamtuthuong.vn","tulamtuthuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0397274138","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Dũng Lan","số 346, xóm 1","thôn Ðan Viễn, xã Ngọc Hồi, huyện Thanh Trì","Hà Nội","VN-HN","100000","84","024777930720","0940465477","hotro@phandunglan.vn","phandunglan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0156495752","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Nhàn Gia","số 51, xóm 1","thôn 1, xã Vạn Điểm, huyện Thường Tín","Hà Nội","VN-HN","100000","84","0247385552","0937223476","hotro@phamnhangia.vn","phamnhangia.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0128814462","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Luật Vũ","số 143, hẻm 6","đường Trần Phong Vĩnh, phường Cầu Diễn, quận Nam Từ Liêm","Hà Nội","VN-HN","100000","84","0247175889","0998790930","hotro@nguyenluatvu.vn","nguyenluatvu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0188466906","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Cơ Ái Nhân","số 687, hẻm Hảo Thái","đường Phạm Chiến Chính, phường Tam Bình, quận Thủ Đức","Hồ Chí Minh","VN-SG","700000","84","021654196646","0869115334","hotro@phamcoainhan.vn","phamcoainhan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0339428972","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Ðiền Thông Trâm","số 288, xóm 4","thôn 1, xã Phước Lộc, huyện Nhà Bè","Hồ Chí Minh","VN-SG","700000","84","02917122284","0883877340","hotro@nguyenðienthongtram.vn","nguyenðienthongtram.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0376308871","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Trụ Ban","số 403, hẻm 28","đường Canh San, phường Thủ Thiêm, quận Quận 2","Hồ Chí Minh","VN-SG","700000","84","02757162962","0918810729","hotro@phamtruban.vn","phamtruban.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0342916094","UIT.IS336.L12.4","company"
"Công ty TNHH Lều Hưng","số 307, đường Duệ Khả","phường Nghĩa Tân, quận Cầu Giấy","Hà Nội","VN-HN","100000","84","0247104716","0883754587","hotro@leuhung.vn","leuhung.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0197001627","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Khánh Phượng","số 39, đường Thoa Anh","phường Cát Linh, quận Đống Đa","Hà Nội","VN-HN","100000","84","02445068087","0964706388","hotro@phamkhanhphuong.vn","phamkhanhphuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0144158333","UIT.IS336.L12.4","company"
"Công ty TNHH Chương Minh Phước Lệ","số 863, đường Nguyễn Đại Danh","phường 7, quận Gò Vấp","Hồ Chí Minh","VN-SG","700000","84","027462681319","0942455076","hotro@chuongminhphuocle.vn","chuongminhphuocle.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0349456553","UIT.IS336.L12.4","company"
"Công ty TNHH Thục Ánh Cẩm","số 382, xóm 6","thôn 4, xã Đồng Tháp, huyện Đan Phượng","Hà Nội","VN-HN","100000","84","02454449486","0999363279","hotro@thucanhcam.vn","thucanhcam.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0127092891","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Miên Ðạt","số 186, đường Hoàng Tráng Linh","phường Tứ Liên, quận Tây Hồ","Hà Nội","VN-HN","100000","84","0247135206","0917484645","hotro@lemienðat.vn","lemienðat.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0183114197","UIT.IS336.L12.4","company"
